OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 2251 DEB,1993-036AUZ,35959,DEB,,CIS,1993-06-16,PLMSC,,100.40,74.03,794,761,0.0076,,EA,ORB
COSMOS 2251 DEB,1993-036AVR,35975,DEB,,CIS,1993-06-16,PLMSC,,100.82,74.05,878,716,0.0109,,EA,ORB
FENGYUN 1C DEB,1999-025DSK,36162,DEB,,PRC,1999-05-10,TAISC,,102.45,97.62,1053,696,0.0167,,EA,ORB
FENGYUN 1C DEB,1999-025DTF,36182,DEB,,PRC,1999-05-10,TAISC,,100.24,99.10,786,754,0.0112,,EA,ORB
FENGYUN 1C DEB,1999-025DUR,36216,DEB,,PRC,1999-05-10,TAISC,,101.47,98.59,860,797,0.0067,,EA,ORB
COSMOS 2251 DEB,1993-036BDM,36551,DEB,,CIS,1993-06-16,PLMSC,,95.07,73.90,544,500,0.0096,,EA,ORB
COSMOS 2251 DEB,1993-036BDV,36559,DEB,,CIS,1993-06-16,PLMSC,,102.98,74.12,1092,708,0.0044,,EA,ORB
FASTSAT-HSV01 (USA 220),2010-062D,37225,PAY,+,US,2010-11-20,KODAK,,97.15,71.97,635,610,,,EA,ORB
COSMOS 2251 DEB,1993-036BRL,38054,DEB,,CIS,1993-06-16,PLMSC,,105.59,73.95,1280,764,0.0067,,EA,ORB
FENGYUN 1C DEB,1999-025ERG,38159,DEB,,PRC,1999-05-10,TAISC,,102.58,99.29,922,840,0.0088,,EA,ORB
BRITE-AUSTRIA,2013-009F,39091,PAY,+,ASRA,2013-02-25,SRILR,,100.24,98.40,777,763,0.1040,,EA,ORB
NANOSATC-BR1,2014-033Q,40024,PAY,+,BRAZ,2014-06-19,DLS,,93.88,98.07,466,462,0.0370,,EA,ORB
SENTINEL-2A,2015-028A,40697,PAY,+,ESA,2015-06-23,FRGUI,,100.64,98.56,790,788,3.4510,,EA,ORB
LAPAN-A3,2016-040E,41603,PAY,+,INDO,2016-06-22,SRILR,,93.90,97.16,473,457,0.2815,,EA,ORB
SKYSAT-C5,2016-058C,41772,PAY,+,US,2016-09-16,FRGUI,,93.86,97.04,465,462,0.4255,,EA,ORB
IRIDIUM 105,2017-003E,41921,PAY,+,US,2017-01-14,AFWTR,,100.40,86.40,779,776,2.2529,,EA,ORB
LEMUR-2-DEMBITZ,2017-042T,42842,PAY,+,US,2017-07-14,TYMSC,,93.95,97.38,473,463,,,EA,ORB
IRIDIUM 100,2017-061B,42956,PAY,+,US,2017-10-09,AFWTR,,100.40,86.40,779,776,,,EA,ORB
JILIN-1 06,2017-074C,43024,PAY,+,PRC,2017-11-21,TAISC,,93.84,97.48,466,459,,,EA,ORB
JILIN-1 08,2018-008F,43160,PAY,+,PRC,2018-01-19,JSC,,93.83,97.18,467,457,,,EA,ORB
FENGYUN 1C DEB,1999-025EYQ,43359,DEB,,PRC,1999-05-10,TAISC,,101.02,99.05,858,756,,,EA,ORB
IRIDIUM 156,2018-061H,43576,PAY,+,US,2018-07-25,AFWTR,,100.40,86.40,779,776,,,EA,ORB
HAIYANG-1C,2018-068A,43609,PAY,+,PRC,2018-09-07,TAISC,,100.41,98.51,785,770,,,EA,ORB
ICESAT-2,2018-070A,43613,PAY,+,US,2018-09-15,AFWTR,,94.22,92.00,485,477,,,EA,ORB
FOX-1CLIFF (AO-95),2018-099N,43770,PAY,+,US,2018-12-03,AFWTR,,94.22,97.43,487,474,,,EA,ORB
SNUGLITE,2018-099AC,43784,PAY,+,SKOR,2018-12-03,AFWTR,,94.19,97.38,481,478,,,EA,ORB
JY1SAT (JO-97),2018-099AX,43803,PAY,+,JOR,2018-12-03,AFWTR,,93.74,97.41,461,454,,,EA,ORB
IRIDIUM 172,2019-002F,43927,PAY,+,US,2019-01-11,AFWTR,,100.40,86.40,779,776,,,EA,ORB
IRIDIUM 170,2019-002J,43930,PAY,+,US,2019-01-11,AFWTR,,97.81,86.61,656,652,,,EA,ORB
ZY-1 02D,2019-059A,44528,PAY,+,PRC,2019-09-12,TAISC,,100.33,98.67,778,770,,,EA,ORB
MEV-1,2019-067B,44625,PAY,+,US,2019-10-09,TYMSC,,1436.09,0.83,35804,35769,,,EA,ORB
STARLINK-1464,2020-038X,45751,PAY,P,US,2020-06-13,AFETR,,91.65,53.04,356,355,,,EA,ORB
SALSAT,2020-068K,46495,PAY,+,GER,2020-09-28,PLMSC,,94.06,97.89,480,467,,,EA,ORB
FENGYUN 1C DEB,1999-025FBF,47029,DEB,,PRC,1999-05-10,TAISC,,95.02,98.93,585,455,,,EA,ORB
COSMOS 2251 DEB,1993-036BXG,47052,DEB,,CIS,1993-06-16,PLMSC,,100.29,74.05,815,729,,,EA,ORB
